schema_id,semantic_key,excel_col,send_to_ai,display,note
gept-2_sentence,item_no,C,N,N,題號（出作業 # 範圍用）—若你實際欄位不同請改 excel_col
gept-2_sentence,page,E,N,N,頁次（出作業 pp. 範圍用）—若你實際欄位不同請改 excel_col
gept-2_sentence,sheet_id,D,N,N,段落／活頁名（與活頁 A~Z 對齊）
gept-2_sentence,display_zh,Y,N,Y,中文提示（題卷 FONTSIZE(Y,-1)）
gept-2_sentence,script,X,Y,N,英文句（題卷 X；AI 稿）
gept-2_sentence,blank_1,BA,N,N,挖空詞1（答卷 SUBSTITUTE 用）
gept-2_sentence,blank_2,BB,N,N,挖空詞2
gept-2_sentence,blank_1_zh,BC,N,Y,挖空詞1中文提示
gept-2_sentence,blank_2_zh,BD,N,Y,挖空詞2中文提示
